"Reference","Qty","Value","Footprint","DigiKey","Manufacturer_Part_Number"
"C1,C2,C3","3","2.2uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","587-6022-2-ND","TMK105CBJ225MV-F"
"C4,C5","2","27pF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","490-16380-2-ND","GJM1555C1H270FB01D"
"C6,C13,C14","3","1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","587-1231-2-ND","JMK105BJ105KV-F"
"C7","1","120nF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","13-CC0402KRX5R6BB124TR-ND","CC0402KRX5R6BB124"
"C8,C19","2","3.3pF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","490-8097-2-ND","GJM1555C1H3R3BB01D"
"C9,C10,C11,C12","4","47nF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","490-1308-2-ND","GRM155R71H472KA01D"
"C15,C16,C17,C18","4","0.1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","1276-1002-2-ND","CL05B104KP5NNNC"
"D1","1","LED","LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder","1497-1174-2-ND","XZMDK68W-2"
"E1","1","NN02-101","NN02_101:XCVR_NN02-101","2115-NN02-101TR-ND","NN02-101"
"IC1","1","USBLC6-2SC6","USBLC6-2SC6:SOT95P280X145-6N","5399-USBLC6-2SC6TR-ND","USBLC6-2SC6"
"J1","1","S2B-ZRLFSN","S2B_ZR_LF_SN:CONN_S2B-ZR_JST","455-1669-ND","S2B-ZR"
"J2","1","USB4215-03-A","USB4215_03_A:CONN_8p94X6p5X3p16_12L_GCC","2073-USB4215-03-ATR-ND","USB4215-03-A"
"J3,J4","2","POGOB","POGO_PINB:POGOB","ED90453TR-ND","0910-0-57-20-76-14-11-0"
"L1","1","LQG15HS2N2B02D","LQG15HS2N2B02D:INDC1005X55N","490-LQG15HS2N2B02DTR-ND","LQG15HS2N2B02D"
"R1,R2","2","5.1K","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","311-5.10KLRTR-ND","RC0402FR-075K1L"
"R3,R10,R11,R12","4","10K","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","RMCF0402FT10K0TR-ND","RMCF0402FT10K0"
"R4,R7","2","2K7","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","A129632TR-ND","CRGCQ0402F2K7"
"R5","1","5K9","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","P5.90KLTR-ND","ERJ-2RKF5901X"
"R6","1","1K","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","311-1.00KLRTR-ND","RC0402FR-071KL"
"R8,R9","2","4K7","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","311-4.7KJRTR-ND","RC0402JR-074K7L"
"S1,S2","2","EVQ-P7A01P","EVQ_P7A01P:SW_EVQ-P7A01P","P16763TR-ND","EVQ-P7A01P"
"U1","1","ESP32-C3FH4","ESP32-C3FH4:QFN50P500X500X90-33N","1904-ESP32-C3FH4TR-ND","ESP32-C3FH4"
"U2","1","TLV75533PDBVR","TLV75533PDBVR:DBV0005A_N","296-50411-2-ND","TLV75533PDBVR"
"U3","1","MAX30009ENA+T","MAX30009ENA_T:MAX30009ENA_T","175-MAX30009ENA+TTR-ND","MAX30009ENA+T"
"U4","1","BQ25100YFPR","BQ25100YFPR:BGA6N40P3X2_157X88X50N","296-39931-2-ND","BQ25100YFPR"
"U5","1","BNO055","Package_LGA:LGA-28_5.2x3.8mm_P0.5mm","828-1058-2-ND","BNO055"
"U6","1","MAX30102EFD+T","MAX30102EFD_T:21-1048_F143A5&plus_1_MXM","MAX30102EFD+TTR-ND","MAX30102EFD+T"
"U7","1","TCR2EF18_LMCT","TCR2EF18_LM_CT:SOT-25   SMV_TOS","TCR2EF18LM(CTTR-ND","TCR2EF18,LM(CT"
"Y1","1","ECS-400-18-33-JGN-TR3","ECS_400_18_33_JGN_TR3:XTAL_ECS-400-18-33-JGN-TR3","50-ECS-400-18-33-JGN-TR3TR-ND","ECS-400-18-33-JGN-TR3"
