Source:,C:\Users\jibon\Documents\documentsA\uprojects\Adee\PCB\STA5635\STA5635.kicad_sch,,,,,,,,,,,,,,,,,,
Date:,9/5/2024 13:47,,,,,,,,,,,,,,,,,,
Tool:,Eeschema 7.0.9,,,,,,,,,,,,,,,,,,
Generator:,C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,,,,,,,,
Component Count:,32,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Collated Components:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,DNP,Availability,Check_prices,Description,MANUFACTURER,MAXIMUM_PACKAGE_HEIGHT,MF,MP,PARTREV,Package,Price,STANDARD,SnapEDA_Link
1,2,"C1, C2",1uF,Device:C_Small,Capacitor_SMD:C_1206_3216Metric,~,,,,,,,,,,,,,
2,6,"C3, C4, C5, C6, C7, C8",104,Device:C_Small,Capacitor_SMD:C_1206_3216Metric,~,,,,,,,,,,,,,
3,1,C9,2PF,Device:C_Small,Capacitor_SMD:C_1206_3216Metric,~,,,,,,,,,,,,,
4,2,"H1, H2",MountingHole,Mechanical:MountingHole,MountingHole:MountingHole_2.2mm_M2,~,,,,,,,,,,,,,
5,2,"H3, H4",MountingHole,Mechanical:MountingHole,MountingHole:MountingHole_2.2mm_M2_DIN965,~,,,,,,,,,,,,,
6,1,J1,Conn_02x20_Odd_Even,Connector_Generic:Conn_02x20_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical,~,,,,,,,,,,,,,
7,1,J2,SMA,SMA_CONNECTOR:SMA_CONNECTOR,SMA_CONNECTOR:LPRS_SMA_CONNECTOR,,,In Stock,https://www.snapeda.com/parts/SMA%20CONNECTOR/LPRS/view-part/?ref=eda,RF Coaxial Straight SMA Connector,LPRS,8.3 mm,LPRS,SMA CONNECTOR,1.3,None,None,Manufacturer Recommendations,https://www.snapeda.com/parts/SMA%20CONNECTOR/LPRS/view-part/?ref=snap
8,1,J3,EN,Connector_Generic:Conn_01x02,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,,,,,,,,,,,,,
9,1,J4,Conn_01x02,Connector_Generic:Conn_01x02,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,,,,,,,,,,,,,
10,1,L1,10nH,Device:L_Small,Inductor_SMD:L_1206_3216Metric_Pad1.22x1.90mm_HandSolder,~,,,,,,,,,,,,,
11,1,L2,3.6nH,Device:L_Small,Inductor_SMD:L_1206_3216Metric_Pad1.22x1.90mm_HandSolder,~,,,,,,,,,,,,,
12,1,R1,1K,Device:R_Small,Resistor_SMD:R_1206_3216Metric,~,,,,,,,,,,,,,
13,1,R2,1.00E+04,Device:R_Small,Resistor_SMD:R_1206_3216Metric,~,,,,,,,,,,,,,
14,9,"TP1, TP2, TP3, TP4, TP5, TP6, TP8, TP9, TP10",TP,Connector:TestPoint_Small,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,~,,,,,,,,,,,,,
15,1,U1,STA5635A,VFQPN_A5635A_STM:STA5635A,VFQPN_A5635A_STM:VFQPN_A5635A_STM,STA5635A,,,,,,,,,,,,,
16,1,U2,AP2127K-1.8,Regulator_Linear:AP2127K-1.8,Package_TO_SOT_SMD:SOT-23-5,https://www.diodes.com/assets/Datasheets/AP2127.pdf,,,,,,,,,,,,,
